iter	Passed	Remaining
294	1015	2427
295	1018	2423
296	1022	2419
297	1024	2414
298	1027	2409
299	1030	2403
300	1033	2398
301	1035	2394
302	1038	2389
303	1041	2384
304	1044	2379
305	1047	2374
306	1049	2369
307	1052	2365
308	1055	2360
309	1058	2355
310	1061	2351
311	1063	2346
312	1066	2341
313	1069	2337
314	1072	2332
315	1075	2327
316	1077	2322
317	1080	2317
318	1083	2313
319	1087	2310
320	1090	2305
321	1093	2301
322	1096	2298
323	1099	2294
324	1102	2289
325	1105	2284
326	1107	2280
327	1110	2275
328	1113	2270
329	1116	2266
330	1119	2261
331	1122	2257
332	1124	2252
333	1127	2248
334	1130	2243
335	1133	2239
336	1136	2235
337	1138	2230
338	1141	2226
339	1144	2221
340	1147	2217
341	1150	2213
342	1153	2208
343	1155	2204
344	1158	2199
345	1161	2195
346	1164	2190
347	1166	2186
348	1169	2181
349	1172	2177
350	1175	2173
351	1178	2168
352	1181	2164
353	1183	2160
354	1186	2156
355	1189	2151
356	1192	2147
357	1195	2143
358	1198	2139
359	1201	2135
360	1203	2130
361	1206	2126
362	1209	2122
363	1212	2117
364	1214	2113
365	1217	2109
366	1220	2104
367	1223	2100
368	1225	2096
369	1228	2092
370	1231	2087
371	1234	2083
372	1237	2079
373	1239	2075
374	1242	2071
375	1245	2067
376	1248	2063
377	1251	2059
378	1254	2054
379	1256	2050
380	1259	2046
381	1262	2042
382	1265	2038
383	1268	2034
384	1271	2030
385	1273	2026
386	1276	2022
387	1279	2018
388	1282	2014
389	1285	2011
390	1288	2006
391	1291	2002
392	1294	1999
393	1297	1995
394	1300	1991
395	1302	1987
396	1305	1983
397	1308	1979
398	1311	1975
399	1314	1971
400	1317	1968
401	1321	1965
402	1324	1962
403	1327	1958
404	1330	1954
405	1333	1950
406	1336	1947
407	1339	1943
408	1341	1938
409	1344	1935
410	1347	1931
411	1350	1927
412	1353	1923
413	1356	1920
414	1359	1916
415	1362	1912
416	1365	1908
417	1368	1906
418	1372	1902
419	1375	1898
420	1377	1894
421	1380	1890
422	1383	1887
423	1386	1883
424	1389	1879
425	1391	1875
426	1394	1871
427	1397	1868
428	1400	1864
429	1403	1860
430	1406	1856
431	1409	1853
432	1412	1849
433	1415	1845
434	1418	1842
435	1422	1840
436	1425	1836
437	1429	1834
438	1432	1830
439	1436	1828
440	1439	1824
441	1442	1821
442	1446	1818
443	1449	1814
444	1452	1811
445	1455	1807
446	1458	1804
447	1461	1800
448	1463	1796
449	1466	1792
450	1469	1788
451	1472	1784
452	1475	1781
453	1478	1777
454	1481	1774
455	1484	1770
456	1486	1766
457	1489	1763
458	1492	1759
459	1495	1755
460	1499	1752
461	1503	1751
462	1509	1750
463	1514	1749
464	1518	1746
465	1521	1743
466	1524	1739
467	1527	1736
468	1531	1734
469	1534	1730
470	1537	1727
471	1540	1723
472	1543	1720
473	1547	1717
474	1552	1715
475	1555	1712
476	1561	1711
477	1565	1709
478	1568	1706
479	1572	1703
480	1575	1699
481	1578	1696
482	1582	1693
483	1585	1690
484	1588	1686
485	1591	1682
486	1594	1679
487	1597	1676
488	1600	1672
489	1602	1668
490	1605	1664
491	1648	1701
492	1655	1702
493	1663	1703
494	1670	1704
495	1701	1728
496	1706	1727
497	1778	1793
498	1834	1841
499	1839	1839
500	1846	1838
501	1849	1835
502	1852	1830
503	1856	1826
504	1867	1830
505	1872	1828
506	1880	1828
507	1885	1826
508	1899	1831
509	1905	1830
510	1912	1830
511	1918	1828
512	1926	1829
513	1931	1825
514	1934	1821
515	1936	1816
516	1941	1813
517	1943	1808
518	1946	1804
519	1950	1800
520	1952	1795
521	1956	1791
522	1959	1786
523	1961	1782
524	1965	1777
525	1967	1773
526	1972	1770
527	1976	1766
528	1981	1763
529	1985	1760
530	1990	1758
531	1994	1754
532	1996	1749
533	1999	1745
534	2005	1743
535	2009	1739
536	2013	1736
537	2017	1732
538	2021	1729
539	2025	1725
540	2027	1720
541	2030	1715
542	2035	1712
543	2038	1708
544	2041	1704
545	2044	1699
546	2047	1695
547	2052	1692
548	2055	1688
549	2058	1683
550	2060	1679
551	2064	1675
552	2068	1671
553	2071	1667
554	2073	1662
555	2076	1658
556	2079	1654
557	2084	1651
558	2087	1647
559	2090	1642
560	2093	1638
561	2096	1633
562	2101	1630
563	2103	1626
564	2106	1621
565	2109	1617
566	2114	1614
567	2117	1610
568	2120	1606
569	2123	1601
570	2126	1597
571	2130	1594
572	2134	1590
573	2137	1586
574	2140	1582
575	2144	1578
576	2149	1575
577	2152	1571
578	2155	1567
579	2158	1563
580	2213	1596
581	2268	1629
582	2273	1625
583	2279	1623
584	2288	1623
585	2293	1620
586	2308	1624
587	2314	1621
588	2319	1618
589	2323	1614
590	2329	1611
591	2336	1610
592	2341	1607
593	2346	1603
594	2351	1600
595	2360	1599
596	2365	1596
597	2370	1593
598	2376	1590
599	2380	1587
600	2385	1583
601	2393	1582
602	2398	1579
603	2403	1575
604	2408	1572
605	2413	1569
606	2418	1565
607	2423	1562
608	2429	1559
609	2434	1556
610	2440	1553
611	2446	1550
612	2452	1548
613	2471	1553
614	2476	1550
615	2480	1546
616	2486	1543
617	2492	1540
618	2497	1537
619	2502	1534
620	2507	1530
621	2513	1527
622	2519	1524
623	2524	1521
624	2533	1519
625	2537	1515
626	2547	1515
627	2552	1512
628	2557	1508
629	2563	1505
630	2578	1507
631	2584	1504
632	2588	1501
633	2593	1497
634	2599	1494
635	2606	1491
636	2611	1488
637	2620	1487
638	2626	1483
639	2631	1480
640	2636	1476
641	2640	1472
642	2658	1475
643	2665	1473
644	2673	1471
645	2678	1467
646	2683	1464
647	2689	1460
648	2694	1457
649	2700	1453
650	2704	1450
651	2710	1446
652	2718	1444
653	2723	1440
654	2729	1437
655	2734	1433
656	2738	1429
657	2749	1428
658	2753	1425
659	2759	1421
660	2765	1418
661	2770	1414
662	2775	1410
663	2781	1407
664	2787	1403
665	2793	1401
666	2798	1397
667	2802	1393
668	2808	1389
669	2813	1385
670	2818	1381
671	2827	1379
672	2832	1376
673	2837	1372
674	2843	1368
675	2848	1365
676	2853	1361
677	2862	1359
678	2866	1355
679	2873	1352
680	2877	1347
681	2882	1343
682	2887	1339
683	2893	1336
684	2898	1332
685	2902	1328
686	2909	1325
687	2914	1321
688	2918	1317
689	2923	1313
690	2929	1309
691	2936	1306
692	2940	1302
693	2946	1299
694	2951	1295
695	2955	1291
696	2960	1286
697	2964	1282
698	2969	1278
699	2975	1275
700	2979	1271
701	2985	1267
702	2990	1263
703	2994	1259
704	2999	1255
705	3004	1251
706	3009	1247
707	3014	1243
708	3020	1239
709	3025	1235
710	3029	1231
711	3035	1227
712	3041	1224
713	3046	1220
714	3052	1216
715	3058	1213
716	3063	1209
717	3068	1205
718	3075	1202
719	3081	1198
720	3085	1194
721	3091	1190
722	3097	1186
723	3101	1182
724	3105	1178
725	3110	1174
726	3115	1170
727	3120	1165
728	3123	1161
729	3126	1156
730	3130	1151
731	3133	1147
732	3138	1143
733	3141	1138
734	3144	1133
735	3147	1129
736	3150	1124
737	3153	1119
738	3156	1114
739	3159	1110
740	3162	1105
741	3165	1100
742	3168	1095
743	3171	1091
744	3173	1086
745	3177	1081
746	3180	1077
747	3183	1072
748	3186	1067
749	3189	1063
750	3193	1058
751	3196	1054
752	3199	1049
753	3202	1044
754	3205	1040
755	3208	1035
756	3211	1030
757	3214	1026
758	3216	1021
759	3219	1016
760	3222	1011
761	3225	1007
762	3228	1002
763	3230	998
764	3234	993
765	3237	988
766	3240	984
767	3242	979
768	3245	974
769	3248	970
770	3251	965
771	3253	960
772	3256	956
773	3259	951
774	3262	947
775	3265	942
776	3267	937
777	3270	933
778	3273	928
779	3276	924
780	3278	919
781	3282	915
782	3285	910
783	3289	906
784	3292	901
785	3295	897
786	3297	892
787	3300	887
788	3303	883
789	3306	878
790	3309	874
791	3312	869
792	3315	865
793	3317	860
794	3320	856
795	3323	851
796	3326	847
797	3330	842
798	3333	838
799	3336	834
800	3339	829
801	3342	825
802	3344	820
803	3347	816
804	3350	811
805	3353	807
806	3356	802
807	3359	798
808	3361	793
809	3364	789
810	3367	784
811	3370	780
812	3372	775
813	3375	771
814	3378	766
815	3381	762
816	3384	758
817	3387	753
818	3390	749
819	3392	744
820	3395	740
821	3398	735
822	3401	731
823	3403	727
824	3406	722
825	3409	718
826	3412	713
827	3415	709
828	3418	705
829	3421	700
830	3423	696
831	3426	691
832	3429	687
833	3432	683
834	3435	678
835	3437	674
836	3440	670
837	3443	665
838	3446	661
839	3449	657
840	3452	652
841	3454	648
842	3457	643
843	3460	639
844	3463	635
845	3466	630
846	3469	626
847	3471	622
848	3474	617
849	3477	613
850	3480	609
851	3482	605
852	3485	600
853	3488	596
854	3491	592
855	3494	587
856	3497	583
857	3499	579
858	3502	574
859	3505	570
860	3510	566
861	3513	562
862	3516	558
863	3519	553
864	3521	549
865	3524	545
866	3527	541
867	3530	536
868	3533	532
869	3536	528
870	3539	524
871	3542	520
872	3545	515
873	3548	511
874	3551	507
875	3554	503
876	3557	499
877	3560	494
878	3563	490
879	3566	486
880	3569	482
881	3572	477
882	3575	473
883	3578	469
884	3581	465
885	3584	461
886	3587	457
887	3590	452
888	3593	448
889	3596	444
890	3622	443
891	3627	439
892	3632	435
893	3640	431
894	3645	427
895	3652	423
896	3657	419
897	3693	419
898	3699	415
899	3705	411
900	3710	407
901	3715	403
902	3721	399
903	3729	396
904	3734	392
905	3740	388
906	3745	384
907	3750	379
908	3794	379
909	3801	375
910	3825	373
911	3831	369
912	3836	365
913	3841	361
914	3846	357
915	3852	353
916	3859	349
917	3864	345
918	3869	341
919	3872	336
920	3875	332
921	3877	328
922	3880	323
923	3883	319
924	3886	315
925	3937	314
926	3944	310
927	3950	306
928	3955	302
929	3963	298
930	3968	294
931	3974	290
932	4002	287
933	4008	283
934	4016	279
935	4020	274
936	4025	270
937	4030	266
938	4036	262
939	4042	258
940	4047	253
941	4052	249
942	4057	245
943	4064	241
944	4070	236
945	4135	236
946	4140	231
947	4146	227
948	4151	223
949	4157	218
950	4162	214
951	4169	210
952	4174	205
953	4184	201
954	4189	197
955	4194	193
956	4200	188
957	4205	184
958	4210	180
959	4216	175
960	4221	171
961	4229	167
962	4234	162
963	4239	158
964	4244	153
965	4249	149
966	4253	145
967	4259	140
968	4265	136
969	4269	132
970	4276	127
971	4281	123
972	4285	118
973	4289	114
974	4293	110
975	4297	105
976	4300	101
977	4304	96
978	4308	92
979	4312	88
980	4315	83
981	4319	79
982	4322	74
983	4326	70
984	4329	65
985	4333	61
986	4337	57
987	4341	52
988	4345	48
989	4347	43
990	4351	39
991	4354	35
992	4358	30
993	4361	26
994	4365	21
995	4368	17
996	4372	13
997	4375	8
998	4379	4
999	4382	0
	4538	0
3	6066	98
984	6072	92
985	6081	86
986	6089	80
987	6094	74
988	6101	67
989	6107	61
990	6112	55
991	6116	49
992	6120	43
993	6124	36
994	6129	30
995	6135	24
996	6140	18
997	6146	12
998	6150	6
999	6153	0
